Old_Dialogue_ID,Old_Utterance_ID,Speaker,Emotion,Sentiment,Mean Pitch distance,Max Pitch distance,Mean Intensity distance,Max Intensity distance,Jitter distance,Shimmer distance,Mean Nhr distance,Speechrate distance
19-19,0-1,Joey-Phoebe,neutral-neutral,neutral-neutral,3.275300354,3.288483987,0.416164971,1.855896664,2.598121818,5.233479846,3.492473498,1.179082257
152-152,0-1,Monica-Paul,positive-positive,negative-positive,2.856186884,2.446654641,1.280947981,0.121430733,0.312121386,0.622166248,1.223707758,0.055812299
152-152,01-Apr,Paul-Monica,positive-neutral,positive-neutral,2.521868626,0.344088323,0.084498928,0.352914347,0.363051098,0.902244414,0.02759977,0.535357913
152-152,04-May,Monica-Paul,neutral-neutral,neutral-neutral,0.320524681,1.704241011,0.247669629,0.079997837,0.564400109,0.424394963,1.084065864,0.434968366
152-152,05-Jun,Paul-Monica,neutral-neutral,neutral-neutral,0.805149856,0.498358884,0.264372961,0.317170377,1.011002353,0.730103334,0.3351966,1.198097641
152-152,06-Jul,Monica-Paul,neutral-neutral,neutral-neutral,0.478000618,0.000695364,0.753885067,0.774495663,0.40695532,0.23147782,0.201856219,1.473124269
152-152,07-Aug,Paul-Monica,neutral-positive,neutral-positive,0.193663002,0.089090143,0.583204203,1.248840743,0.605803405,0.60302341,0.753244936,0.700714497
152-152,08-Sep,Monica-Rachel,positive-negative,positive-negative,0.878490601,0.516350977,0.054301091,0.829722307,0.988118417,1.483104457,0.30465752,0.126378536
164-164,0-1,Ross-Rachel,negative-neutral,negative-neutral,1.243951279,1.210185407,1.998337756,3.577020955,0.342814741,2.686122028,0.598187409,0.46814374
164-164,01-Feb,Rachel-Ross,neutral-positive,neutral-positive,1.456239502,1.351895146,1.641459621,4.527192481,1.441013092,2.116547515,0.151216571,0.410514673
164-164,02-Mar,Ross-Rachel,positive-neutral,positive-neutral,0.477221482,0.161995022,0.236009215,0.987760001,0.698065161,0.384831415,0.38679266,0.26007246
164-164,03-Apr,Rachel-Ross,neutral-negative,neutral-negative,0.349327191,0.018773396,2.083698667,0.75021712,3.66320071,0.045427424,2.802743789,0.279280657
164-164,07-Aug,Ross-Rachel,neutral-positive,neutral-positive,0.417854206,2.287761341,0.991159733,0.167798322,0.355920193,1.433737535,0.868766549,0.185605501
164-164,08-Sep,Rachel-Ross,positive-positive,positive-positive,0.174008431,0.96949389,0.098964394,2.445173375,0.136280522,0.559869789,0.274726809,0.010719633
467-467,0-1,Rachel-Monica,positive-neutral,positive-neutral,0.175386814,0.065509932,1.95119389,0.356140392,1.225962568,0.03229424,0.246223467,1.337390209
467-467,01-Feb,Monica-Rachel,neutral-neutral,neutral-neutral,1.056525737,0.324976913,0.699548,0.980746123,0.483014638,0.766018185,0.271842954,0.421512869
559-559,0-1,Chandler-All,neutral-neutral,neutral-neutral,0.241915772,0.299064167,0.715774633,1.077619534,0.225738884,0.96236441,0.648400182,0.332656426
559-559,01-Feb,All-Chandler,neutral-positive,neutral-negative,0.054079074,1.776093071,0.171605901,1.322867671,0.716595323,1.627873512,1.211480776,0.533580225
559-559,02-Mar,Chandler-Joey,positive-positive,negative-negative,0.40491381,0.636730173,0.475792246,1.557058214,0.051449174,0.035560087,0.162963788,0.111092047
559-559,03-Apr,Joey-Chandler,positive-neutral,negative-neutral,1.163273507,0.604232745,1.700882681,2.047554489,1.327675914,1.148703288,1.183150758,0.487824171
